common_name,description,folklore,link,medicinal_uses,origins,properties,tags
avocado ,"avocados are a favorite food because of the high fat content that gives themsuch a creamy, luscious flavor. this puts some , off, it shouldn't.  most ofthe fat contained in avocados is monounsaturated fat, about 75 percent in a typical avocado. the fruitalso has more potassium than bananas and is rich in b vitamins, vitamin e andvitamin k. there are some recent studies that confirm avocados role in maintaining healthy , levels, adding to the long list of reasons to enjoy this luscious, medicinal food.,avocado oil is dark green, very rich, thick and moisturizing to ,. it's many healthy properties explain avocados popularity in homemade skinmasks and skin treatments and avocado oil is also great in salad dressings. the high fat content makes this oil a bit unstableso store away from heat and light, refrigeration is recommended. ,avocado oil combined with soy, or avocado soybean unsaponifiables is also available as a supplement. (asu) supplements    have shown benefits for  , of the knee, with patients experiencing    less pain and stiffness in clinical trials. two clinical studies found that    the combination significantly improved functional disability and pain., there    is a delayed onset of action, which could frustrate those looking for quick    relief. you may be able to reap some of the same benefits by including more    avocado and soy in your diet, as well you should, but the supplements do    provide a concentrated source. ", ,persea americana avocado," Arthritis, Cholesterol, Culinary/Kitchen, Massage Oils, North American, Nutrition, Skin Care",",,  ,North America"," Astringent, Carminative, Cholagogue, EFA, Emollient, Vulnerary"," arthritis, cholesterol, culinary/kitchen, massage oils, north american, nutrition, skin care,dieters,cholesterol,dry skin,osteoarthritis"
butternut ,,"in appalachia, an oil expressed from fresh butternut has been used to expel tapeworms.  early american settlers may have learned how to use butternut from the iroquois who were observed using the butter as a form of toothache relief. native americans also applied the bark to the skin to treat rheumatism and headaches.  both the settlers and the indians use the butternut sap as a tonic. ",juglans cinerea butternut," Constipation, Parasites/worms",",,  ,North America"," Analgesic, Hepatic, Laxative, Styptic, Vermifuge"," constipation, parasites/worms"
cypress ,"the aromatic and resinous leaves of the cypress tree produce an essential oil that is used in  ,. cypress oil is slightly astringent making it an excellent choice to hydrate and condition oily skin. cypress oil has a skin-tightening, pore-reducing effectand is often used in  , and , formulations. cypress also helps toalleviate poor circulation problems and relieve excess fluid retention and so is one of the essential oils often recommended for , massage blends and treatmentof ,.","many cemeteries in the east are thickly planted with cypresses, however tree has none of that almost necessary mental suggestion of sadness which pertains to the mode of growth of the weeping willow or the somber hue of the yew. ancient greco-roman culture used cypress medicinally and as a purifying incense. it blends well with other mediterranean oils like lavender, clary sage and bergamot. ",cupressus sempervirens cypress oil," Aromatherapy, Cellulite, Cuts & Wounds, Deodorants/Perfumes, Detoxification, Facial Care, Flu, Varicose Veins",," Antirheumatic, Antispasmodic, Aromatic, Astringent, Calm, Depurative, Diuretic, Hepatic, Muscle Relaxant, Skin tonic, Stress, Vasoconstrictor"," aromatherapy, cellulite, cuts & wounds, deodorants/perfumes, detoxification, facial care, flu, varicose veins,aromatherapy,facial,skin care,cellulite, varicose veins"
dong quai ,"in traditional chinese medicine, only , is more esteemed.  the name dong quai means proper order and for thousands of years the dried roots have been used to restore a healthy order to the body. since ancient times, dang-quai has been an important ,.  the phytoestrogens in dong quai work to bring the body's natural estrogen into balance. ,  historically, it has been prescribed for  ,,  ,, and other abnormalities of the menstrual cycle. for , women it addresses symptoms such as hot flashes, night sweats and mood swings.  ,.,a decoction of the whole root is considered diuretic and strongly antibacterial. anti-inflammatory, analgesic, and antispasmodic activity have been confirmed in experiments. considered the most important chinese herb for menstrual disorders, its blood tonic, circulation-enhancing, pain-relieving, tranquilizing, and , qualities are sometimes overlooked. dong quai contains many nutrients, from metals like cobalt, copper and manganese,  to plant sterols, which have similar chemical structures to human hormones  like estrogen. among the active medicinal ingredients are coumarins, essential  oils, and various flavonoids. dong quai strengthens the immune system by increasing  production of white blood cells, assisting the liver in ridding the body of  toxins. this immune enhancement may come into play in , prevention  and as an adjunct to debilitating effects of treatment. ", ,angelica sinensis dong quai," Amenorrhea, Aphrodisiac, Bruises/sprains, Cancer Prevention, Chinese, Dysmenorrhea, Female Hormones, Immune, Liver, Longevity Tonics, Menopause, Menorrhagia, Nerve/Back Pain, PMS",",,  ,Traditional Chinese Medicine"," Adaptogens, Antidepressant, Antispasmodic, AntiViral, Aphrodisiac, Depurative, Hepatic, Phytoestrogen, Stimulant"," amenorrhea, aphrodisiac, bruises/sprains, cancer prevention, chinese, dysmenorrhea, female hormones, immune, liver, longevity tonics, menopause, menorrhagia, nerve/back pain, pms,herb for women,uterine bleeding,painful menses,menopausal,cancer"
eyebright ,",  , eyebright's main use in herbal medicine is, as culpepper suggests, "" ,"". eyebright's centuries of use as a ,is insufficient to convince some modern herbalists of it's effectiveness, because the scientific evidence for it's use is thin. although there is no specific evidence that eyebright as a whole is particularly useful for eye conditions, there is considerable evidence that compounds in the herb are anti-inflammatory and antibacterial."," eyebright  has small, scallop-edged white flowers with yellow spots and a black center, somewhat resembling a bloodshot eye. historically, eyebright's use for eye problems was due to the doctrine of signatures, a sixteenth-century theory that held that a plant's appearance indicated the conditions it could treat. ",euphrasia various species eyebright," Allergies, Congestion, Eyes/Vision, Sinus","European,North America,United Plant Savers", Astringent," allergies, congestion, eyes/vision, sinus,
"
fumitory ," the traditional medical uses of fumitory are as a skin treatment for eczema and other eruptions of the skin. the herb is taken as a tea for indigestion, and can be supportive in treating gallbladder and liver conditions.",fumitory has been used at least since roman times and was mentioned as a herb for eyesight by pliny the elder. fumitory had a more prominent place in the herbal medicine of medieval  and 18th century europe than it does today. culpepper and grieve both valued it highly for serious conditions such as liver disease and leprosy ,fumaria officinalis," Acne , Eczema, Liver",",,  "," Anodyne, Astringent, Bitter, Cholagogue, Depurative, Digestive, Diuretic, Hepatic, Laxative, Sedative, Skin tonic, Stomachic, Vermifuge"," acne , eczema, liver"
jiaogulan ," :, * , ", ,gynostemma pentaphyllum jiaogulan," Cardiovascular, Chinese, Cholesterol, Hypertension, Immune, Longevity Tonics, Stress",Traditional Chinese Medicine," Adaptogens, Antioxidant, Cordial, Hypotensive, Immunostimulant, Tonic, Vasodilator"," cardiovascular, chinese, cholesterol, hypertension, immune, longevity tonics, stress,blood pressure,weight loss,heart"
hyssop ," hyssop is a good expectorant and antiviral herb commonly used to treat respiratory conditions such as influenza,sinus infections, colds,  and bronchitis. most of its medicinal properties are attributed to the essential oil of hyssop. hyssop oil can be diffused in a sickroom to help control germs and clear the air. hyysop can also be used externally to treat burns and bruises. hyssop is a nervine, and can be used to calm anxiety.  the herbs bitter principle, marrubin, also contributes to its use as a digestive stimulant. ", hyssop comes from the hebrew name a,hyssopus officinalis hyssop," Aromatherapy, Bronchitis, Bruises/sprains, Burns, Cardiovascular, Congestion, Congestion, Dental/Oral Care, Facial Care, Flu, Herpes/Cold Sores, Hypertension, IBS, Insect Repellent",," Adaptogens, Antispasmodic, Aromatic, Carminative, Cicatrisant, Cordial, Diaphoretic, Digestive, Diuretic, Emmenagogue, Expectorant, Febrifuge, Hypertensive, Hypotensive, Nervine, Sedative, Vermifuge, Vulnerary"," aromatherapy, bronchitis, bruises/sprains, burns, cardiovascular, congestion, congestion, dental/oral care, facial care, flu, herpes/cold sores, hypertension, ibs, insect repellent"
ivy gourd ,, ,coccinia grandis ivy gourd, Diabetes,, Hypoglycemic," diabetes,diabetes"
juniper ,"juniper closely resembles ,, and like  cypress it is valued for its detoxifying action on the body. the use and reputation of juniper berries and their own is ancient, yet few human studies have been done. many native american tribes of north america have traditionally used  juniper for a wide range of ailments. ,juniper helps to eliminate excess water and is used as a mild diuretic to treat to treat  ,, usually in combination with other herbs. in 1984, the german commission e approved the use of juniper dried fruit in teas and extracts  to relieve dyspepsia (disturbed digestion or indigestion), but did not approve juniper as a single-ingredient aquaretic (an agent that increases urine flow, without affecting electrolyte balance).juniper's detoxifying properties are also employed in the treatment of wounds and inflamatory diseases such as ,and  , and according to studies inhibited the formation of inflammatory prostaglanins. ,in addition juniper berries help clear congestion so are often included in , indeed, juniper berries have such a wide range of uses thatno herbal medicine chest should be without them.","many native american tribes of north america have utilized various parts of j. communis for a wide range of ailments.5 a decoction of the berries has been used for lung and venereal disease by the blackfoot tribe. the woodland cree smoked the blue berries for asthma and have made a decoction of the green berries for sore backs caused by kidney trouble. a combination of the berries with kinnikinnick (arctostaphylos uva-ursi, ericaceae) leaves or balsam has been decocted, strained and used for tuberculosis by the carrier tribe. the inupiat have used the berries alone or as an infusion, or a decoction of the berries, needles and twigs, to prevent and treat colds and flu. ",juniperus communis juniper berries," Acne , Aromatherapy, Bladder Infection (UTI), Cellulite, Colds, Congestion, Detoxification, Eczema, Facial Care, Gout, Herbal Steam, Nerve/Back Pain, Rheumatoid_arthritis",European," Antibacterial, Antirheumatic, Antispasmodic, AntiViral, Aphrodisiac, Aromatic, Astringent, Cicatrisant, Circulation, Depurative, Diaphoretic, Diuretic, Emmenagogue, Energize, Mental Clarity, Nervine, Rubefacient, Sedative, Skin tonic, Stomachic, Vermifuge, Vulnerary"," acne , aromatherapy, bladder infection (uti), cellulite, colds, congestion, detoxification, eczema, facial care, gout, herbal steam, nerve/back pain, rheumatoid_arthritis,urinary problems,gout ,rheumatoid arthritis ,cold remedies to relieve congestion and improve breathing,acne,nerves,sleeping"
