common_name,description,folklore,link,medicinal_uses,origins,properties,tags
"How to Use: 
	Avocado ","Avocados are a favorite food because of the high fat content that gives them
such a creamy, luscious flavor. This puts some , off, it shouldn't.  Most of
the fat contained in avocados is monounsaturated fat, about 75 percent in a typical avocado. The fruit
also has more potassium than bananas and is rich in B vitamins, Vitamin E and
Vitamin K. There are some recent studies that confirm avocados role in maintaining healthy , levels, adding to the long list of reasons to enjoy this luscious, medicinal food.,Avocado oil is dark green, very rich, thick and moisturizing to ,. It's many healthy properties explain avocados popularity in homemade skin
masks and skin treatments and avocado oil is also great in salad dressings. The high fat content makes this oil a bit unstable
so store away from heat and light, refrigeration is recommended. ,Avocado oil combined with soy, or avocado soybean unsaponifiables is also available as a supplement. (ASU) supplements
    have shown benefits for  , of the knee, with patients experiencing
    less pain and stiffness in clinical trials. Two clinical studies found that
    the combination significantly improved functional disability and pain., There
    is a delayed onset of action, which could frustrate those looking for quick
    relief. You may be able to reap some of the same benefits by including more
    avocado and soy in your diet, as well you should, but the supplements do
    provide a concentrated source. ","
	
	
	 ",<200 https://www.anniesremedy.com/persea-americana-avocado.php>,"* Arthritis,* Cholesterol,* Culinary/Kitchen,* Massage Oils,* North American,* Nutrition,* Skin Care","
,
, 
 ,North America","* Astringent,* Carminative,* Cholagogue,* EFA,* Emollient,* Vulnerary","* Arthritis,* Cholesterol,* Culinary/Kitchen,* Massage Oils,* North American,* Nutrition,* Skin Care,dieters,cholesterol,dry skin,osteoarthritis"
"How to Use: 
	Butternut ",,"
	
	
	In Appalachia, an oil expressed from fresh butternut has been used to expel tapeworms.  Early American settlers may have learned how to use butternut from the Iroquois who were observed using the butter as a form of toothache relief. Native Americans also applied the bark to the skin to treat rheumatism and headaches.  Both the settlers and the Indians use the butternut sap as a tonic. ",<200 https://www.anniesremedy.com/juglans-cinerea-butternut.php>,"* Constipation,* Parasites/worms","
,
, 
 ,North America","* Analgesic,* Hepatic,* Laxative,* Styptic,* Vermifuge","* Constipation,* Parasites/worms"
"How to Use: 
	Cypress ","The aromatic and resinous leaves of the cypress tree produce an essential oil that is used in  ,. Cypress oil is slightly astringent making it an excellent choice to hydrate and condition oily skin. Cypress oil has a skin-tightening, pore-reducing effect
and is often used in  , and , formulations. Cypress also helps to
alleviate poor circulation problems and relieve excess fluid retention and so is one of the essential oils often recommended for , massage blends and treatment
of ,.","
	
	
	Many cemeteries in the East are thickly planted with Cypresses, however tree has none of that almost necessary mental suggestion of sadness which pertains to the mode of growth of the Weeping Willow or the somber hue of the Yew. Ancient Greco-Roman culture used cypress medicinally and as a purifying incense. It blends well with other Mediterranean oils like lavender, clary sage and bergamot. ",<200 https://www.anniesremedy.com/cupressus-sempervirens-cypress-oil.php>,"* Aromatherapy,* Cellulite,* Cuts & Wounds,* Deodorants/Perfumes,* Detoxification,* Facial Care,* Flu,* Varicose Veins",,"* Antirheumatic,* Antispasmodic,* Aromatic,* Astringent,* Calm,* Depurative,* Diuretic,* Hepatic,* Muscle Relaxant,* Skin tonic,* Stress,* Vasoconstrictor","* Aromatherapy,* Cellulite,* Cuts & Wounds,* Deodorants/Perfumes,* Detoxification,* Facial Care,* Flu,* Varicose Veins,aromatherapy,facial,skin care,cellulite, varicose veins"
"How to Use: 
	Dong Quai ","In traditional Chinese medicine, only , is more esteemed.  The name dong quai means proper order and for thousands of years the dried roots have been used to restore a healthy order to the body. Since ancient times, dang-quai has been an important ,.  The phytoestrogens in dong quai work to bring the body's natural estrogen into balance. ,  Historically, it has been prescribed for  ,,  ,, and other abnormalities of the menstrual cycle. For , women it addresses symptoms such as hot flashes, night sweats and mood swings.  ,.,A decoction of the whole root is considered diuretic and strongly antibacterial. Anti-inflammatory, analgesic, and antispasmodic activity have been confirmed in experiments. Considered the most important Chinese herb for menstrual disorders, its blood tonic, circulation-enhancing, pain-relieving, tranquilizing, and , qualities are sometimes overlooked. Dong quai contains many nutrients, from metals like cobalt, copper and manganese,
  to plant sterols, which have similar chemical structures to human hormones
  like estrogen. Among the active medicinal ingredients are coumarins, essential
  oils, and various flavonoids. Dong quai strengthens the immune system by increasing
  production of white blood cells, assisting the liver in ridding the body of
  toxins. This immune enhancement may come into play in , prevention
  and as an adjunct to debilitating effects of treatment. ","
	
	
	 ",<200 https://www.anniesremedy.com/angelica-sinensis-dong-quai.php>,"* Amenorrhea,* Aphrodisiac,* Bruises/sprains,* Cancer Prevention,* Chinese,* Dysmenorrhea,* Female Hormones,* Immune,* Liver,* Longevity Tonics,* Menopause,* Menorrhagia,* Nerve/Back Pain,* PMS","
,
, 
 ,Traditional Chinese Medicine","* Adaptogens,* Antidepressant,* Antispasmodic,* AntiViral,* Aphrodisiac,* Depurative,* Hepatic,* Phytoestrogen,* Stimulant","* Amenorrhea,* Aphrodisiac,* Bruises/sprains,* Cancer Prevention,* Chinese,* Dysmenorrhea,* Female Hormones,* Immune,* Liver,* Longevity Tonics,* Menopause,* Menorrhagia,* Nerve/Back Pain,* PMS,herb for women,uterine bleeding,painful menses,menopausal,cancer"
"How to Use: 
	Eyebright ","
	, 
 , Eyebright's main use in herbal medicine is, as Culpepper suggests, "" ,"". Eyebright's centuries of use as a ,is insufficient to convince some modern herbalists of it's effectiveness, because the scientific evidence for it's use is thin. Although there is no specific evidence that eyebright as a whole is particularly useful for eye conditions, there is considerable evidence that compounds in the herb are anti-inflammatory and antibacterial.","
	
	
	 Eyebright  has small, scallop-edged white flowers with yellow spots and a black center, somewhat resembling a bloodshot eye. Historically, eyebright's use for eye problems was due to the Doctrine of Signatures, a sixteenth-century theory that held that a plant's appearance indicated the conditions it could treat. ",<200 https://www.anniesremedy.com/euphrasia-various-species-eyebright.php>,"* Allergies,* Congestion,* Eyes/Vision,* Sinus","European,North America,United Plant Savers",* Astringent,"* Allergies,* Congestion,* Eyes/Vision,* Sinus,
"
"How to Use: 
	Fumitory "," The traditional medical uses of fumitory are as a skin treatment for eczema and other eruptions of the skin. The herb is taken as a tea for indigestion, and can be supportive in treating gallbladder and liver conditions.","
	
	
	Fumitory has been used at least since Roman times and was mentioned as a herb for eyesight by Pliny the Elder. Fumitory had a more prominent place in the herbal medicine of medieval  and 18th century Europe than it does today. Culpepper and Grieve both valued it highly for serious conditions such as liver disease and leprosy ",<200 https://www.anniesremedy.com/fumaria-officinalis.php>,"* Acne ,* Eczema,* Liver","
,
, 
 ","* Anodyne,* Astringent,* Bitter,* Cholagogue,* Depurative,* Digestive,* Diuretic,* Hepatic,* Laxative,* Sedative,* Skin tonic,* Stomachic,* Vermifuge","* Acne ,* Eczema,* Liver"
"How to Use: 
	Jiaogulan ","Regional Traditions :, * 
,
 						","
	
	
	 ",<200 https://www.anniesremedy.com/gynostemma-pentaphyllum-jiaogulan.php>,"* Cardiovascular,* Chinese,* Cholesterol,* Hypertension,* Immune,* Longevity Tonics,* Stress",Traditional Chinese Medicine,"* Adaptogens,* Antioxidant,* Cordial,* Hypotensive,* Immunostimulant,* Tonic,* Vasodilator","* Cardiovascular,* Chinese,* Cholesterol,* Hypertension,* Immune,* Longevity Tonics,* Stress,blood pressure,weight loss,heart"
"How to Use: 
	Hyssop "," Hyssop is a good expectorant and antiviral herb commonly used to treat respiratory conditions such as influenza,sinus infections, colds,  and 
bronchitis. Most of its medicinal properties are attributed to the essential oil of hyssop. Hyssop oil can be diffused in a sickroom to help control germs and clear the air. Hyysop can also be used externally to treat burns and bruises. Hyssop is a nervine, and can be used to calm anxiety.  The herbs bitter principle, marrubin, also contributes to its use as a digestive stimulant. ","
	
	
	 Hyssop comes from the Hebrew name A",<200 https://www.anniesremedy.com/hyssopus-officinalis-hyssop.php>,"* Aromatherapy,* Bronchitis,* Bruises/sprains,* Burns,* Cardiovascular,* Congestion,* Congestion,* Dental/Oral Care,* Facial Care,* Flu,* Herpes/Cold Sores,* Hypertension,* IBS,* Insect Repellent",,"* Adaptogens,* Antispasmodic,* Aromatic,* Carminative,* Cicatrisant,* Cordial,* Diaphoretic,* Digestive,* Diuretic,* Emmenagogue,* Expectorant,* Febrifuge,* Hypertensive,* Hypotensive,* Nervine,* Sedative,* Vermifuge,* Vulnerary","* Aromatherapy,* Bronchitis,* Bruises/sprains,* Burns,* Cardiovascular,* Congestion,* Congestion,* Dental/Oral Care,* Facial Care,* Flu,* Herpes/Cold Sores,* Hypertension,* IBS,* Insect Repellent"
"How to Use: 
	Ivy gourd ",,"
	
	
	 ",<200 https://www.anniesremedy.com/coccinia-grandis-ivy-gourd.php>,* Diabetes,,* Hypoglycemic,"* Diabetes,diabetes"
"How to Use: 
	Juniper ","Juniper closely resembles ,, and like
  cypress it is valued for its detoxifying action on the body. The use and reputation of juniper berries and their own is ancient, yet few human studies have been done. Many Native American tribes of North America have traditionally used  juniper for a wide range of ailments. ,Juniper helps to eliminate excess water and is used as a mild diuretic to treat to treat
  ,, usually in combination with other herbs. In 1984, the German Commission E approved the use of juniper dried fruit in teas and extracts  to relieve dyspepsia (disturbed digestion or indigestion), but did not approve juniper as a single-ingredient aquaretic (an agent that increases urine flow, without affecting electrolyte balance).
Juniper's detoxifying properties are also employed in the treatment of wounds and inflamatory diseases such as ,and
  , and according to studies inhibited the formation of inflammatory prostaglanins. ,In addition juniper berries help clear congestion so are often included in , Indeed, juniper berries have such a wide range of uses that
no herbal medicine chest should be without them.","
	
	
	Many Native American tribes of North America have utilized various parts of J. communis for a wide range of ailments.5 A decoction of the berries has been used for lung and venereal disease by the Blackfoot tribe. The Woodland Cree smoked the blue berries for asthma and have made a decoction of the green berries for sore backs caused by kidney trouble. A combination of the berries with kinnikinnick (Arctostaphylos uva-ursi, Ericaceae) leaves or balsam has been decocted, strained and used for tuberculosis by the Carrier tribe. The Inupiat have used the berries alone or as an infusion, or a decoction of the berries, needles and twigs, to prevent and treat colds and flu. ",<200 https://www.anniesremedy.com/juniperus-communis-juniper-berries.php>,"* Acne ,* Aromatherapy,* Bladder Infection (UTI),* Cellulite,* Colds,* Congestion,* Detoxification,* Eczema,* Facial Care,* Gout,* Herbal Steam,* Nerve/Back Pain,* Rheumatoid_arthritis",European,"* Antibacterial,* Antirheumatic,* Antispasmodic,* AntiViral,* Aphrodisiac,* Aromatic,* Astringent,* Cicatrisant,* Circulation,* Depurative,* Diaphoretic,* Diuretic,* Emmenagogue,* Energize,* Mental Clarity,* Nervine,* Rubefacient,* Sedative,* Skin tonic,* Stomachic,* Vermifuge,* Vulnerary","* Acne ,* Aromatherapy,* Bladder Infection (UTI),* Cellulite,* Colds,* Congestion,* Detoxification,* Eczema,* Facial Care,* Gout,* Herbal Steam,* Nerve/Back Pain,* Rheumatoid_arthritis,urinary problems,gout ,rheumatoid arthritis ,cold remedies to relieve congestion and improve breathing,acne,nerves,sleeping"
